model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
qwen3.8:27b,MS-A,43,32.1,34,,36,0,,2,"V13,V15,V16,V20,V21,V26",39,40,65536,24576,7,7,7,16298,17119,0.974,762.2,12272,0.85,,44369,23.61,1,b,530.88
qwen3.8:27b,MS-A,44,31.9,34,,39,0,,2,"V13,V15,V16,V20,V21,V26",42,40,65536,24576,7,7,7,15793,17119,0.976,81580.0,12272,0.85,,42919,0.15,1,b,495.98
qwen3.8:27b,MS-B,42,33.5,,,,3,2,1,,3,,65536,24576,,,,14638,17119,,765.3,12180,,,45120,15.92,,a,452.91
qwen3.8:27b,MS-B,42,33.4,,,,1,0,1,,1,,65536,24576,,,,11795,17119,,768.1,12380,,,39227,16.12,,b,370.25
gpt-oss:20b,MS-A,42,,23,,20,0,,1,"V01,V04,V13,V14,V15,V16,V18,V20,V21,V24,V25,V31,V32,V33,V36,V37,V38",21,40,65536,8192,2,6,7,3330,15032,0.952,,92491,0.575,,0,,1,c,102.1
gpt-oss:20b,MS-B,42,,,,,1,3,1,,4,,65536,8192,,,,1656,15032,,,92891,,,0,,,c,64.1
magistral,MS-A,42,,22,,44,1,,4,"V01,V02,V04,V09,V12,V16,V20,V21,V25,V26,V30,V31,V32,V33,V36,V37,V38,V39",54,40,65536,8192,1,4,7,3565,22170,0.833,,95222,0.55,,0,,9,c,392.4
mistral-small,MS-A,42,,10,,10,2,,1,"V01,V03,V04,V09,V10,V11,V12,V13,V14,V15,V16,V18,V19,V20,V21,V24,V25,V26,V27,V28,V30,V31,V32,V33,V34,V36,V37,V38,V39,V40",18,40,65536,8192,1,5,7,17669,20574,0.556,,95222,0.25,,0,,8,c,1561.5
qwen3.6:35b-a3b-bf16,MS-A,42,,29,,28,0,,1,"V02,V03,V05,V06,V07,V16,V20,V25,V26,V27,V32",31,40,65536,8192,2,2,7,39916,72066,0.903,,97087,0.725,,0,,3,c,1521.7
qwen3.6:35b-a3b-q4_K_M,MS-A,42,,29,,30,0,,2,"V02,V16,V18,V20,V24,V26,V31,V32,V33,V37,V38",33,40,65536,8192,5,6,7,37115,26840,0.909,,97087,0.725,,0,,3,c,854.9
qwen3.6:35b-a3b-q8_0,MS-A,42,,27,,26,0,,1,"V02,V03,V05,V06,V07,V09,V16,V20,V26,V27,V32,V33,V39",27,40,65536,8192,3,3,7,40959,40915,0.963,,97087,0.675,,0,,1,c,1139.2
qwen3.6:35b-a3b-q8_0,MS-B,42,,,,,1,1,0,,1,,65536,8192,,,,50991,40915,,,97959,,,0,,,c,1389.4
qwen3.8:27b,MS-A,42,,33,,39,1,,5,"V02,V05,V06,V07,V16,V20,V26",43,40,65536,8192,3,3,7,40649,17119,0.93,,96831,0.825,,0,,3,c,1397.6
qwen3.8:27b,MS-B,42,,,,,2,2,1,,3,,65536,8192,,,,31311,17119,,,97695,,,0,,,c,1127.5
